,0
0,"[[0.00000000e+00 7.75630474e-03]
 [9.14148127e-01 4.60644190e-03]
 [1.85641242e+00 7.26196671e-03]
 [2.13132023e+00 5.49659809e-03]
 [3.00340458e+00 1.40689274e-03]
 [4.14295963e+00 2.71165568e-03]]"
1,"[[0.00000000e+00 1.38840128e-03]
 [1.62631178e+00 7.08204277e-04]
 [2.84871043e+00 1.28112414e-03]
 [3.18628843e+00 1.47854135e-03]
 [4.46896850e+00 1.85786642e-03]
 [5.53491770e+00 6.66888532e-04]]"
2,"[[0.00000000e+00 1.23559540e-03]
 [8.21016916e-01 2.99377664e-03]
 [1.78384294e+00 1.85470159e-03]
 [2.01561528e+00 1.86640319e-03]
 [2.89410984e+00 9.48476827e-04]
 [4.19044571e+00 2.98241755e-03]]"
3,"[[0.00000000e+00 1.35331513e-03]
 [1.53672383e+00 6.41917176e-04]
 [2.71776890e+00 1.32573681e-03]
 [3.05341483e+00 1.61556961e-03]
 [4.30854761e+00 2.45074987e-03]
 [5.36920577e+00 6.82773549e-04]]"
4,"[[0.00000000e+00 1.04763713e-03]
 [7.78239858e-01 3.08090134e-03]
 [1.76639459e+00 2.57121081e-03]
 [2.02305693e+00 2.03112846e-03]
 [2.91084501e+00 8.34479972e-04]
 [4.16155028e+00 1.82924251e-03]]"
5,"[[0.00000000e+00 1.99805540e-03]
 [8.57290157e-01 5.25213586e-03]
 [1.77934166e+00 3.31785011e-03]
 [2.01158385e+00 3.20928597e-03]
 [2.96277339e+00 1.64805982e-03]
 [4.39367783e+00 1.31338413e-02]]"
6,"[[0.00000000e+00 1.56547775e-03]
 [1.61831648e+00 7.39553920e-04]
 [2.78011696e+00 1.32528369e-03]
 [3.09370979e+00 1.53223074e-03]
 [4.41136043e+00 2.07575112e-03]
 [5.48342370e+00 7.60133103e-04]]"
7,"[[0.00000000e+00 3.77628455e-03]
 [1.57780952e+00 1.44096084e-03]
 [2.77760420e+00 3.02677067e-03]
 [3.12200457e+00 3.49257027e-03]
 [4.33995563e+00 3.45040036e-03]
 [5.46004526e+00 1.60105374e-03]]"
8,"[[0.00000000e+00 1.22376858e-03]
 [8.25899065e-01 3.05303879e-03]
 [1.78220401e+00 2.21479395e-03]
 [2.03175572e+00 2.04834260e-03]
 [2.90416716e+00 9.70298845e-04]
 [4.25091002e+00 2.88184592e-03]]"
9,"[[0.00000000e+00 1.98300803e-03]
 [1.58899585e+00 8.86396319e-04]
 [2.78577632e+00 1.81486258e-03]
 [3.09767798e+00 2.00854051e-03]
 [4.34906826e+00 3.06353114e-03]
 [5.46775778e+00 9.74567839e-04]]"
10,"[[0.00000000e+00 1.12384472e-03]
 [8.27959858e-01 2.58826428e-03]
 [1.78178986e+00 1.75586193e-03]
 [2.03912980e+00 1.63449270e-03]
 [2.93592898e+00 8.54512250e-04]
 [4.15534909e+00 1.76981349e-03]]"
11,"[[0.00000000e+00 1.60932560e-03]
 [8.20501369e-01 4.06675502e-03]
 [1.76695676e+00 2.77299943e-03]
 [2.01653214e+00 2.61855224e-03]
 [2.90296536e+00 1.17895513e-03]
 [4.13633540e+00 2.51167125e-03]]"
